GYR_X,GYR_Y,GYR_Z,DATE,UNIX_TIMESTAMP
-0.0027935912366956,0.0045229573734104,0.004789013415575,2023-10-20T11:56:58.988540Z,1697803018988
-0.0025275349617004,0.0034587320405989,0.00026605630409903824,2023-10-20T11:56:59.011501Z,1697803019011
-0.0049220416694879,0.0026605629827827,-0.0023945067077875,2023-10-20T11:56:59.018299Z,1697803019018
-0.0029266192577779,-0.00026605630409903824,-0.0045229573734104,2023-10-20T11:56:59.028709Z,1697803019028
0.0031926757656037,-0.0034587320405989,-0.0038578163366764,2023-10-20T11:56:59.039232Z,1697803019039
0.0031926757656037,0.0022614786867052,-0.0023945067077875,2023-10-20T11:56:59.049520Z,1697803019049
0.0015963378828018,-0.00013302815204951912,0.0023945067077875,2023-10-20T11:56:59.058548Z,1697803019058
-0.0009311970788985492,0.0019954221788793,-0.0005321126081980765,2023-10-20T11:56:59.069658Z,1697803019069
0.0023945067077875,0.004789013415575,-0.0025275349617004,2023-10-20T11:56:59.078692Z,1697803019078
-0.0027935912366956,-0.0007981689414009452,0.0042569008655846,2023-10-20T11:56:59.089737Z,1697803019089
0.0019954221788793,0.0014633096288889,0.0025275349617004,2023-10-20T11:56:59.099509Z,1697803019099
-0.0037247883155941,0.0017293660202994,0.003325703786686,2023-10-20T11:56:59.111534Z,1697803019111
-0.0045229573734104,-0.0015963378828018,0.0039908443577587,2023-10-20T11:56:59.119949Z,1697803019119
-0.0009311970788985492,-0.0019954221788793,-0.0029266192577779,2023-10-20T11:56:59.129951Z,1697803019129
-0.0005321126081980765,-0.0031926757656037,0.0010642252163961,2023-10-20T11:56:59.139952Z,1697803019139
0.00013302815204951912,0.0014633096288889,-0.0014633096288889,2023-10-20T11:56:59.151158Z,1697803019151
0.0023945067077875,0.0013302814913913,-0.0023945067077875,2023-10-20T11:56:59.161712Z,1697803019161
0.0022614786867052,-0.0019954221788793,-0.003325703786686,2023-10-20T11:56:59.170798Z,1697803019170
-0.0027935912366956,0.0013302814913913,-0.003325703786686,2023-10-20T11:56:59.179993Z,1697803019179
-0.004789013415575,-0.0015963378828018,0.003325703786686,2023-10-20T11:56:59.190818Z,1697803019190
0.0021284504327923,0.0043899291194975,-0.0013302814913913,2023-10-20T11:56:59.200702Z,1697803019200
-0.0034587320405989,0.0007981689414009452,-0.00013302815204951912,2023-10-20T11:56:59.211498Z,1697803019211
-0.0015963378828018,0.0003990844707004726,-0.0023945067077875,2023-10-20T11:56:59.220997Z,1697803019220
-0.0009311970788985492,0.004789013415575,0.0015963378828018,2023-10-20T11:56:59.231452Z,1697803019231
0.0041238726116716,-0.0041238726116716,0.0007981689414009452,2023-10-20T11:56:59.241109Z,1697803019241
-0.0014633096288889,-0.0046559851616621,0.0021284504327923,2023-10-20T11:56:59.252268Z,1697803019252
-0.0027935912366956,-0.004789013415575,0.0006651407456956804,2023-10-20T11:56:59.265970Z,1697803019265
-0.0045229573734104,-0.0006651407456956804,0.0046559851616621,2023-10-20T11:56:59.272275Z,1697803019272
-0.0029266192577779,0.0042569008655846,-0.0007981689414009452,2023-10-20T11:56:59.282311Z,1697803019282
0.0039908443577587,0.0042569008655846,-0.001862394157797,2023-10-20T11:56:59.295981Z,1697803019295
-0.0022614786867052,0.0042569008655846,-0.0014633096288889,2023-10-20T11:56:59.302025Z,1697803019301
0.0026605629827827,0.0017293660202994,-0.0039908443577587,2023-10-20T11:56:59.316436Z,1697803019316
0.1096151992678642,-0.2137762457132339,-0.2421112358570099,2023-10-20T11:56:59.322428Z,1697803019322
0.1124087870121002,-0.2471663057804107,-0.2680517137050628,2023-10-20T11:56:59.333662Z,1697803019333
0.1137390732765197,-0.2790930569171905,-0.2864096164703369,2023-10-20T11:56:59.349027Z,1697803019348
0.114537239074707,-0.3066298961639404,-0.2941252589225769,2023-10-20T11:56:59.353491Z,1697803019353
0.1152023822069168,-0.3277813792228699,-0.2897353172302246,2023-10-20T11:56:59.366107Z,1697803019366
0.1166656911373138,-0.3408181369304657,-0.2715104520320892,2023-10-20T11:56:59.373742Z,1697803019373
0.1198583617806434,-0.3433456718921661,-0.2391846179962158,2023-10-20T11:56:59.382997Z,1697803019382
0.1261106878519058,-0.3378915190696716,-0.1966156065464019,2023-10-20T11:56:59.395975Z,1697803019395
0.1352896243333816,-0.3319052457809448,-0.1521842032670974,2023-10-20T11:56:59.403713Z,1697803019403
0.1471291333436966,-0.3321712911128998,-0.1137390732765197,2023-10-20T11:56:59.417017Z,1697803019416
0.1612301170825958,-0.340951144695282,-0.0856701284646987,2023-10-20T11:56:59.423701Z,1697803019423
0.1763953268527984,-0.3573136031627655,-0.0690416097640991,2023-10-20T11:56:59.434436Z,1697803019434
